"id","reference","definition"
"1213","Enrogel","<p>Fountain of the treaders; i.e., &quot;foot-fountain;&quot; also called the &quot;fullers&#39; fountain,&quot; because fullers here trod the clothes in water. It has been identified with the &quot;fountain of the virgin&quot; (q.v.), the modern Ain Ummel-Daraj. Others identify it, with perhaps some probability, with the Bir Eyub, to the south of the Pool of Siloam, and below the junction of the valleys of Kidron and Hinnom. (See [188]FOUNTAIN.)</p><p>It was at this fountain that Jonathan and Ahimaaz lay hid after the flight of David (2 Sam. 17:17); and here also Adonijah held the feast when he aspired to the throne of his father (1 Kings 1:9).</p><p>The Bir Eyub, or &quot;Joab&#39;s well,&quot; &quot;is a singular work of ancient enterprise. The shaft sunk through the solid rock in the bed of the Kidron is 125 feet deep...The water is pure and entirely sweet, quite different from that of Siloam; which proves that there is no connection between them.&quot; Thomson&#39;s Land and the Book.</p>"
"1214","Enshemesh","<p>Fountain of the sun a spring which formed one of the landmarks on the boundary between Judah and Benjamin (Josh. 15:7; 18:17). It was between the &quot;ascent of Adummim&quot; and the spring of En-rogel, and hence was on the east of Jerusalem and of the Mount of Olives. It is the modern Ain-Haud i.e., the &quot;well of the apostles&quot; about a mile east of Bethany, the only spring on the road to Jericho. The sun shines on it the whole day long.</p>"
"1215","Ensign","<p>(1.) Heb. oth, a military standard, especially of a single tribe (Num. 2:2). Each separate tribe had its own &quot;sign&quot; or &quot;ensign.&quot;</p><p>(2.) Heb. nes, a lofty signal, as a column or high pole (Num. 21:8, 9); a standard or signal or flag placed on high mountains to point out to the people a place of rendezvous on the irruption of an enemy (Isa. 5:26; 11:12; 18:3; 62:10; Jer. 4:6, 21; Ps. 60:4). This was an occasional signal, and not a military standard. Elevation and conspicuity are implied in the word.</p><p>(3.) The Hebrew word degel denotes the standard given to each of the four divisions of the host of the Israelites at the Exodus (Num. 1:52; 2:2; 10:14). In Cant. 2:4 it is rendered &quot;banner.&quot; We have no definite information as to the nature of these military standards. (See [189]BANNER.)</p>"
"1216","Entertain","<p>Entertainments, &quot;feasts,&quot; were sometimes connected with a public festival (Deut. 16:11, 14), and accompanied by offerings (1 Sam. 9:13), in token of alliances (Gen. 26:30); sometimes in connection with domestic or social events, as at the weaning of children (Gen. 21:8), at weddings (Gen. 29:22; John 2:1), on birth-days (Matt. 14:6), at the time of sheep-shearing (2 Sam. 13:23), and of vintage (Judg. 9:27), and at funerals (2 Sam. 3:35; Jer. 16:7).</p><p>The guests were invited by servants (Prov. 9:3; Matt. 22:3), who assigned them their respective places (1 Sam. 9:22; Luke 14:8; Mark 12:39). Like portions were sent by the master to each guest (1 Sam. 1:4; 2 Sam. 6:19), except when special honour was intended, when the portion was increased (Gen. 43:34).</p><p>The Israelites were forbidden to attend heathenish sacrificial entertainments (Ex. 34:15), because these were in honour of false gods, and because at such feast they would be liable to partake of unclean flesh (1 Cor. 10:28).</p><p>In the entertainments common in apostolic times among the Gentiles were frequent &quot;revellings,&quot; against which Christians were warned (Rom. 13:13; Gal. 5:21; 1 Pet. 4:3). (See [190]BANQUET.)</p>"
"1217","Epaenetus","<p>Commendable, a Christian at Rome to whom Paul sent his salutation (Rom. 16:5). He is spoken of as &quot;the first fruits of Achaia&quot; (R.V., &quot;of Asia&quot;, i.e., of proconsular Asia, which is probably the correct reading). As being the first convert in that region, he was peculiarly dear to the apostle. He calls him his &quot;well beloved.&quot;</p>"
"1218","Epaphras","<p>Lovely, spoken of by Paul (Col. 1:7; 4:12) as &quot;his dear fellow-servant,&quot; and &quot;a faithful minister of Christ.&quot; He was thus evidently with him at Rome when he wrote to the Colossians. He was a distinguished disciple, and probably the founder of the Colossian church. He is also mentioned in the Epistle to Philemon (1:23), where he is called by Paul his &quot;fellow-prisoner.&quot;</p>"
"1219","Epaphroditus","<p>Fair, graceful; belonging to Aphrodite or Venus the messenger who came from Phillipi to the apostle when he was a prisoner at Rome (Phil. 2:25-30; 4:10-18). Paul mentions him in words of esteem and affection. On his return to Philippi he was the bearer of Paul&#39;s letter to the church there.</p>"
"1220","Ephah","<p>Gloom. (1.) One of the five sons of Midian, and grandson of Abraham (Gen. 25:4). The city of Ephah, to which he gave his name, is mentioned Isa. 60:6, 7. This city, with its surrounding territory, formed part of Midian, on the east shore of the Dead Sea. It abounded in dromedaries and camels (Judg. 6:5).</p><p>(2.) 1 Chr. 2:46, a concubine of Caleb.</p><p>(3.) 1 Chr. 2:47, a descendant of Judah.</p><p>Ephah, a word of Egyptian origin, meaning measure; a grain measure containing &quot;three seahs or ten omers,&quot; and equivalent to the bath for liquids (Ex. 16:36; 1 Sam. 17:17; Zech. 5:6). The double ephah in Prov. 20:10 (marg., &quot;an ephah and an ephah&quot;), Deut. 25:14, means two ephahs, the one false and the other just.</p>"
"1221","Epher","<p>A calf. (1.) One of the sons of Midian, who was Abraham&#39;s son by Keturah (Gen. 25:4).</p><p>(2.) The head of one of the families of trans-Jordanic Manasseh who were carried captive by Tiglath-pileser (1 Chr. 5:24).</p>"
"1222","Ephesdammim","<p>Boundary of blood, a place in the tribe of Judah where the Philistines encamped when David fought with Goliath (1 Sam. 17:1). It was probably so called as having been the scene of frequent sanguinary conflicts between Israel and the Philistines. It is called Pas-dammim (1 Chr. 11:13). It has been identified with the modern Beit Fased, i.e., &quot;house of bleeding&quot;, near Shochoh (q.v.).</p>"
"1223","Ephesians, Epistle to","<p>Was written by Paul at Rome about the same time as that to the Colossians, which in many points it resembles.</p><p>Contents of. The Epistle to the Colossians is mainly polemical, designed to refute certain theosophic errors that had crept into the church there. That to the Ephesians does not seem to have originated in any special circumstances, but is simply a letter springing from Paul&#39;s love to the church there, and indicative of his earnest desire that they should be fully instructed in the profound doctrines of the gospel. It contains (1) the salutation (1:1, 2); (2) a general description of the blessings the gospel reveals, as to their source, means by which they are attained, purpose for which they are bestowed, and their final result, with a fervent prayer for the further spiritual enrichment of the Ephesians (1:3-2:10); (3) &quot;a record of that marked change in spiritual position which the Gentile believers now possessed, ending with an account of the writer&#39;s selection to and qualification for the apostolate of heathendom, a fact so considered as to keep them from being dispirited, and to lead him to pray for enlarged spiritual benefactions on his absent sympathizers&quot; (2:12-3:21); (4) a chapter on unity as undisturbed by diversity of gifts (4:1-16); (5) special injunctions bearing on ordinary life (4:17-6:10); (6) the imagery of a spiritual warfare, mission of Tychicus, and valedictory blessing (6:11-24).</p><p>Planting of the church at Ephesus. Paul&#39;s first and hurried visit for the space of three months to Ephesus is recorded in Acts 18:19-21. The work he began on this occasion was carried forward by Apollos (24-26) and Aquila and Priscilla. On his second visit, early in the following year, he remained at Ephesus &quot;three years,&quot; for he found it was the key to the western provinces of Asia Minor. Here &quot;a great door and effectual&quot; was opened to him (1 Cor. 16:9), and the church was established and strengthened by his assiduous labours there (Acts 20:20, 31). From Ephesus as a centre the gospel spread abroad &quot;almost throughout all Asia&quot; (19:26). The word &quot;mightily grew and prevailed&quot; despite all the opposition and persecution he encountered.</p><p>On his last journey to Jerusalem the apostle landed at Miletus, and summoning together the elders of the church from Ephesus, delivered to them his remarkable farewell charge (Acts 20:18-35), expecting to see them no more.</p><p>The following parallels between this epistle and the Milesian charge may be traced:</p><p>(1.) Acts 20:19 = Eph. 4:2. The phrase &quot;lowliness of mind&quot; occurs nowhere else.</p><p>(2.) Acts 20:27 = Eph. 1:11. The word &quot;counsel,&quot; as denoting the divine plan, occurs only here and Heb. 6:17.</p><p>(3.) Acts 20:32 = Eph. 3:20. The divine ability.</p><p>(4.) Acts 20:32 = Eph. 2:20. The building upon the foundation.</p><p>(5.) Acts 20:32 = Eph. 1:14, 18. &quot;The inheritance of the saints.&quot;</p><p>Place and date of the writing of the letter. It was evidently written from Rome during Paul&#39;s first imprisonment (3:1; 4:1; 6:20), and probably soon after his arrival there, about the year 62, four years after he had parted with the Ephesian elders at Miletus. The subscription of this epistle is correct.</p><p>There seems to have been no special occasion for the writing of this letter, as already noted. Paul&#39;s object was plainly not polemical. No errors had sprung up in the church which he sought to point out and refute. The object of the apostle is &quot;to set forth the ground, the cause, and the aim and end of the church of the faithful in Christ. He speaks to the Ephesians as a type or sample of the church universal.&quot; The church&#39;s foundations, its course, and its end, are his theme. &quot;Everywhere the foundation of the church is the will of the Father; the course of the church is by the satisfaction of the Son; the end of the church is the life in the Holy Spirit.&quot; In the Epistle to the Romans, Paul writes from the point of view of justification by the imputed righteousness of Christ; here he writes from the point of view specially of union to the Redeemer, and hence of the oneness of the true church of Christ. &quot;This is perhaps the profoundest book in existence.&quot; It is a book &quot;which sounds the lowest depths of Christian doctrine, and scales the loftiest heights of Christian experience;&quot; and the fact that the apostle evidently expected the Ephesians to understand it is an evidence of the &quot;proficiency which Paul&#39;s converts had attained under his preaching at Ephesus.&quot;</p><p>Relation between this epistle and that to the Colossians (q.v.). &quot;The letters of the apostle are the fervent outburst of pastoral zeal and attachment, written without reserve and in unaffected simplicity; sentiments come warm from the heart, without the shaping out, pruning, and punctilious arrangement of a formal discourse. There is such a fresh and familiar transcription of feeling, so frequent an introduction of coloquial idiom, and so much of conversational frankness and vivacity, that the reader associates the image of the writer with every paragraph, and the ear seems to catch and recognize the very tones of living address.&quot; &quot;Is it then any matter of amazement that one letter should resemble another, or that two written about the same time should have so much in common and so much that is peculiar? The close relation as to style and subject between the epistles to Colosse and Ephesus must strike every reader. Their precise relation to each other has given rise to much discussion. The great probability is that the epistle to Colosse was first written; the parallel passages in Ephesians, which amount to about forty-two in number, having the appearance of being expansions from the epistle to Colosse. Compare:</p><p>Eph 1:7; Col 1:14 Eph 1:10; Col 1:20 Eph 3:2; Col 1:25 Eph 5:19; Col 3:16 Eph 6:22; Col 4:8 Eph 1:19-2:5; Col 2:12, 13 Eph 4:2-4; Col 3:12-15 Eph 4:16; Col 2:19 Eph 4:32; Col 3:13 Eph 4:22-24; Col 3:9, 10 Eph 5:6-8; Col 3:6-8 Eph 5:15, 16; Col 4:5 Eph 6:19, 20; Col 4:3, 4 Eph 5:22-6:9; Col 3:18-4:1</p><p>&quot;The style of this epistle is exceedingly animated, and corresponds with the state of the apostle&#39;s mind at the time of writing. Overjoyed with the account which their messenger had brought him of their faith and holiness (Eph. 1:15), and transported with the consideration of the unsearchable wisdom of God displayed in the work of man&#39;s redemption, and of his astonishing love towards the Gentiles in making them partakers through faith of all the benefits of Christ&#39;s death, he soars high in his sentiments on those grand subjects, and gives his thoughts utterance in sublime and copious expression.&quot;</p>"
