"id","chapter","verse","note"
"468","Exodus 29","30","that son: Heb. he of his sons
"
"469","Exodus 29","43","the Tabernacle: Or, Israel
"
"470","Exodus 30","3","top: Heb. the roof and the walls
"
"471","Exodus 30","3","sides: Heb. walls
"
"472","Exodus 30","4","corners: Heb. ribs
"
"473","Exodus 30","7","sweet incense: Heb. incense of spices
"
"474","Exodus 30","8","lighteth: Or, setteth up, Heb. causeth to ascend
"
"475","Exodus 30","8","at even: Heb. between the two evens
"
"476","Exodus 30","12","their number: Heb. them that are to be numbered
"
"477","Exodus 30","15","give more: Heb. multiply
"
"478","Exodus 30","15","give less: Heb. diminish
"
"479","Exodus 30","25","Apothecary: Or, perfumer
"
"480","Exodus 30","35","tempered: Heb. salted
"
"481","Exodus 31","7","furniture: Heb. vessels
"
"482","Exodus 31","15","holy: Heb. holiness
"
"483","Exodus 32","11","the LORD: Heb. the face of the LORD
"
"484","Exodus 32","18","being overcome: Heb. weakness
"
"485","Exodus 32","25","their enemies: Heb. those that rose up against them
"
"486","Exodus 32","29","For Moses had said, Consecrate yourselves today to the LORD, even every man upon his son, and upon his brother: Or, And Moses said, Consecrate yourselves today to the LORD, because every man hath been against his son, and against his brother, etc
"
"487","Exodus 32","29","Consecrate: Heb. fill your hands
"
"488","Exodus 34","13","images: Heb. statues
"
"489","Exodus 34","20","lamb: Or, kid
"
"490","Exodus 34","22","years end: Heb. revolution of the year
"
"491","Exodus 34","28","commandments: Heb. words
"
"492","Exodus 35","2","holy: Heb. holiness
"
"493","Exodus 36","29","coupled: Heb. twinned
"
"494","Exodus 36","30","every board two sockets: Heb. two sockets, two sockets under one board
"
"495","Exodus 36","37","of needlework: Heb. the work of a needleworker Or, embroiderer
"
"496","Exodus 37","8","on the end: Or, out of, etc
"
"497","Exodus 37","8","on the other: Or, out of, etc
"
"498","Exodus 37","16","to cover withall: Or, to pour out withal
"
"499","Exodus 38","8","lookingglasses: Or, brasen glasses
"
"500","Exodus 38","8","assembling: Heb. assembling by troups
"
"501","Exodus 38","26","every man: Heb. a poll
"
"502","Exodus 39","10","Sardius: Or, Ruby
"
"503","Exodus 39","38","the sweet incense: Heb. the incense of sweet spices
"
"504","Exodus 40","4","the things that are: Heb. the order thereof
"
"505","Exodus 40","10","most Holy: Heb. Holiness of Holinesses
"
"506","Exodus 40","36","went onward: Heb. journeyed
"
"507","Leviticus 1","15","wring off his head: Or, pinch off the head with the nail
"
"508","Leviticus 1","16","his feathers: Or, the filth thereof
"
"509","Leviticus 2","5","in a pan: Or, on a flat plate Or, slice
"
"510","Leviticus 2","12","be burnt: Heb. ascend
"
"511","Leviticus 3","3","fat: Or, suet
"
"512","Leviticus 3","4","caul above the liver with the kidneys: Or, midriff over the liver, and over the kidneys
"
"513","Leviticus 4","12","without the camp: Heb. To without the camp
"
"514","Leviticus 4","12","where the ashes are poured: Heb. at the pouring out of the ashes
"
"515","Leviticus 4","27","any one: Heb. any soul
"
"516","Leviticus 4","27","common people: Heb. people of the land
"
"517","Leviticus 5","7","he be not able to bring a lamb: Heb. his hand cannot reach to the sufficiency of a lamb
"
"518","Leviticus 5","10","manner: Or, ordinance
"
"519","Leviticus 6","2","in fellowship: Or, in dealing
"
"520","Leviticus 6","2","violence: putting of the hand
"
"521","Leviticus 6","5","in the day of his trespass: Or, in the day of his being found guilty: Heb. in the day of his trespass
"
"522","Leviticus 6","9","because of the burning: Or, for the burning
"
"523","Leviticus 7","9","in the pan: Or, on the flat plate, or, slice
"
"524","Leviticus 7","24","beast that dieth: Heb. carcase
"
"525","Leviticus 8","13","put bonnets: Heb. bound
"
"526","Leviticus 9","16","manner: Or, ordinance
"
"527","Leviticus 9","17","took an handfull thereof: Heb. filled his hand out of it
"
"528","Leviticus 11","36","wherein there is plenty of water: Heb. a gathering together of waters
"
"529","Leviticus 11","42","hath more feet: Heb. doth multiply feet
"
"530","Leviticus 11","43","selves: Heb. souls
"
"531","Leviticus 12","6","first year: Heb. son of his year
"
"532","Leviticus 12","8","she be not able to bring: Heb. her hand find not sufficiency of
"
"533","Leviticus 13","2","rising: Or, swelling
"
"534","Leviticus 13","10","quick raw flesh: Heb. the quickening of living flesh
"
"535","Leviticus 13","24","a hot burning: Heb. a burning of fire
"
"536","Leviticus 13","40","hair is fallen: Heb. head is pilled
"
"537","Leviticus 13","48","thing made of: Heb. work of
"
"538","Leviticus 13","49","thing of skin: Heb. vessel, or, instrument
"
"539","Leviticus 13","55","bare within or without: Heb. whether it be bald in the head thereof, or in the forehead thereof
"
"540","Leviticus 14","4","birds: Or, sparrows
"
"541","Leviticus 14","7","into the open field: Heb. upon the face of the field
"
"542","Leviticus 14","10","the first year: Heb. the daughter of her years
"
"543","Leviticus 14","21","cannot get so much: Heb. his hand reach not
"
"544","Leviticus 14","21","to be waved: Heb. for a waving
"
"545","Leviticus 14","36","empty: Or, prepare
"
"546","Leviticus 14","48","shall come in: Heb. in coming in, shall come in, etc
"
"547","Leviticus 14","57","when it is unclean, and when it is clean: Heb. in the day of the unclean, and in the day of the clean
"
"548","Leviticus 15","2","running issue: Or, running of the reins
"
"549","Leviticus 15","4","thing: Heb. vessel
"
"550","Leviticus 15","19","put apart: Heb. in her separation
"
"551","Leviticus 16","8","scapegoat: Heb. Azazel
"
"552","Leviticus 16","9","fell: Heb. went up
"
"553","Leviticus 16","16","remaineth: Heb. dwelleth
"
"554","Leviticus 16","21","a fit man: Heb. a man of opportunity
"
"555","Leviticus 16","21","not inhabited: Heb. of separation
"
"556","Leviticus 16","32","consecrate: Heb. fill his hand
"
"557","Leviticus 17","13","which hunteth and catcheth: Heb. that hunteth any hunting
"
"558","Leviticus 17","15","that which died: Heb. a carcase
"
"559","Leviticus 19","17","and not suffer sin upon him: Or, that thou bear not sin for him
"
"560","Leviticus 19","20","betrothed: Or, abused by any. Heb. reproached by (or, for) man
"
"561","Leviticus 19","20","she shall be scourged: Or, they. Heb. there shall be a scourging
"
"562","Leviticus 19","24","holy to praise the LORD: Holiness of praises to the LORD
"
"563","Leviticus 19","29","prostitute: Heb. profane
"
"564","Leviticus 19","33","vex: Or, oppress
"
"565","Leviticus 19","36","weights: Heb. stones
"
"566","Leviticus 20","18","discovered: Heb. made naked
"
"567","Leviticus 20","19","uncovereth: Heb. hath made naked
"
"568","Leviticus 20","21","an unclean thing: Heb. a separation
"
"569","Leviticus 20","25","creepeth: Or, moveth
"
"570","Leviticus 21","4","being a chief man among his people, to profane himself: Or, being an husband among his people he shall not defile himself for his wife etc.
"
"571","Leviticus 21","17","bread: Or, food
"
"572","Leviticus 21","20","dwarf: Or, too slender
"
"573","Leviticus 22","4","running issue: Heb. running of the reins
"
"574","Leviticus 22","11","with his money: Heb. with the purchase of his money
"
"575","Leviticus 22","12","a stranger: Heb. a man a stranger
"
"576","Leviticus 22","16","suffer them to bear the iniquity of trespass, when they eat: Or, lade themselves with the iniquity of trespass in their eating
"
"577","Leviticus 22","21","sheep: Or, goats
"
"578","Leviticus 22","23","lamb: Or, kid
"
"579","Leviticus 22","28","ewe: Or, she goat
"
"580","Leviticus 23","10","sheaf: Or, handful: Heb. an Omer
"
"581","Leviticus 23","32","celebrate: Heb. rest
"
"582","Leviticus 23","36","solemn: Heb. day of restraint
"
"583","Leviticus 23","40","boughs: Heb. fruit
"
"584","Leviticus 24","2","to cause..to burn: Heb. to cause to ascend
"
"585","Leviticus 24","12","that the mind of the LORD might be shewed them: Heb. to expound unto them according to the mouth of the LORD
"
"586","Leviticus 24","17","killeth any man: Heb. smiteth the life of a man
"
"587","Leviticus 24","18","beast for beast: Heb. life for life
"
"588","Leviticus 25","2","keep: Heb. rest
"
"589","Leviticus 25","5","of thy vine undressed: Heb. of thy separations
"
"590","Leviticus 25","9","of the jubilee to sound: Heb. loud of sound
"
"591","Leviticus 25","23","forever: Or, to be quite cut off. Heb. for cutting off
"
"592","Leviticus 25","26","himself be able to redeem it: Heb. his hand hath attained and found sufficiency
"
"593","Leviticus 25","31","they may be redeemed: Heb. redemption belongeth unto it
"
"594","Leviticus 25","33","a man purchase of the Levites: Or, one of the Levites redeem them
"
"595","Leviticus 25","33","relieve him: Heb. strengthen
"
"596","Leviticus 25","35","fallen in decay: Heb. his hand faileth
"
"597","Leviticus 25","39","compel him to serve as a bondservant: Heb. serve thyself with him with the service, etc.
"
"598","Leviticus 25","42","as bond men: Heb. with the sale of a bondman
"
"599","Leviticus 25","46","they shall be your bondmen: Heb. ye shall serve yourselves with them
"
"600","Leviticus 25","47","wax rich: Heb. his hand obtain, etc
"
"601","Leviticus 25","54","in these years: Or, by these means
"
"602","Leviticus 26","1","standing image: Or, pillar
"
"603","Leviticus 26","1","Image of stone: Or, figured stone. Heb. a stone of picture
"
"604","Leviticus 26","6","rid: Heb. cause to cease
"
"605","Leviticus 26","16","over you: Heb. upon you
"
"606","Leviticus 26","21","contrary unto me: Or, at all adventures with me, etc. so verse 24
"
"607","Leviticus 26","36","shaken: Heb. driven
"
"608","Leviticus 27","12","valuest it who art the Priest: Heb. according to thy estimation, O Priest, etc.
"
"609","Leviticus 27","16","An Homer: Or, the land of an Homer, etc.
"
"610","Leviticus 27","26","firstling: Heb. first born, etc.
"
"611","Numbers 2","2","far off: Heb. over against
"
"612","Numbers 3","3","whom he consecrated: Heb. whose hand he filled
"
"613","Numbers 3","16","word: Heb. mouth
"
"614","Numbers 3","36","under the custody and charge: Heb. the office of the charge
"
"615","Numbers 4","7","cover withall: Or, pour out withal
"
"616","Numbers 4","14","basons: Or, bowls
"
"617","Numbers 4","23","to perform the service: Heb. to war the warfare
"
"618","Numbers 4","24","burdens: Or, carriage
"
"619","Numbers 4","27","appointment: Heb. mouth
"
"620","Numbers 4","30","service: Heb. warfare
"
"621","Numbers 5","9","offering: Or, heave offering
"
"622","Numbers 5","19","with another instead of thy husband: Or, being in the power of thy husband. Heb. under thy husband
"
"623","Numbers 5","21","rot: Heb. fall
"
"624","Numbers 6","2","separate themselves to vow a vow of a Nazarite: Or, to make themselves Nazarites
"
"625","Numbers 6","4","separation: Or, Nazariteship
"
"626","Numbers 6","4","vine tree: Heb. vine of the wine
"
"627","Numbers 6","7","consecration: Heb. separation
"
"628","Numbers 6","12","lost: Heb. fall
"
"629","Numbers 7","2","and were over them: Heb. who stood
"
"630","Numbers 7","89","him: i. God
"
"631","Numbers 8","7","let them shave: Heb. let them cause a razor to pass over, etc
"
"632","Numbers 8","11","offer: Heb. wave
"
"633","Numbers 8","11","offering: Heb. wave offering
"
"634","Numbers 8","11","they may execute: Heb. they may be to execute, etc.
"
"635","Numbers 8","19","a gift: Heb. given
"
"636","Numbers 8","25","cease waiting upon the service: Heb. return from the warfare of the service
"
"637","Numbers 9","3","at even: Heb. between the two evenings
"
"638","Numbers 9","19","tarried long: Heb. prolonged
"
"639","Numbers 9","21","abode: Heb. was
"
"640","Numbers 10","21","the other: That is, the Gershorates, and the Merarites, See v. 17
"
"641","Numbers 10","28","Thus: Heb. These
"
"642","Numbers 10","36","many thousands: Heb. ten thousand thousands
"
"643","Numbers 11","1","complained: Or, were as it were complainers…
"
"644","Numbers 11","1","it displeased the: Heb. it was evil in the eyes of etc.
"
"645","Numbers 11","2","was quenched: Heb. sunk
"
"646","Numbers 11","3","Taberah: that is, a burning
"
"647","Numbers 11","4","fell a lusting: Heb. lusted a lust
"
"648","Numbers 11","4","also wept again: Heb. returned and wept
"
"649","Numbers 11","7","color thereof as the color: Heb. eye of it, as the eye of
"
"650","Numbers 11","20","whole month: Heb. month of days
"
"651","Numbers 11","31","as it were a days journey: Heb. as it were the way of a day
"
"652","Numbers 11","34","Kibrothhattaavah: that is, The graves of lust
"
"653","Numbers 11","35","abode at: Heb. they were in, etc.
"
"654","Numbers 12","1","Ethiopian: Or, Cushite
"
"655","Numbers 12","1","married: Heb. taken
"
"656","Numbers 13","23","brook: Or, valley
"
"657","Numbers 13","24","brook: Or, valley
"
"658","Numbers 13","24","Eschol: i. a cluster of grapes
"
"659","Numbers 13","32","men of a great stature: Heb. men of statures
"
"660","Numbers 14","9","defence: Heb. shadow
"
"661","Numbers 14","19","until now: Or, hitherto
"
"662","Numbers 14","23","Surely they shall not see the land: Heb. if they see the land
"
"663","Numbers 14","30","sware: Heb. lifted up my hand
"
"664","Numbers 14","33","wander: Or, feed
"
"665","Numbers 14","34","breach of promise: Or, altering of my purpose
"
"666","Numbers 15","3","performing: Heb. separating
"
"667","Numbers 15","24","without the knowledge: Heb. from the eyes
"
"668","Numbers 15","24","manner: Or, ordinance
"
"669","Numbers 15","29","sinneth: Heb. doeth
"
"670","Numbers 15","30","presumptuously: Heb. with an high hand
"
"671","Numbers 16","3","ye take too much upon you: Heb. it is much for you
"
"672","Numbers 16","14","put out: Heb. boare out
"
"673","Numbers 16","29","the common death of all men: Heb. as every man dieth
"
"674","Numbers 16","30","make a new thing: Heb. create a creature
"
"675","Numbers 17","6","a rod a piece, for each Prince one: Heb. a rod for one prince, a rod for one prince
"
"676","Numbers 17","10","rebels: Heb. children of rebellion
"
"677","Numbers 18","12","best: Heb. fat
"
"678","Numbers 18","22","and die: Heb. to die
"
"679","Numbers 18","29","best: Heb. fat
"
"680","Numbers 19","11","man: Heb. soul
"
"681","Numbers 19","17","ashes: Heb. dust
"
"682","Numbers 19","17","running water shall be put: Heb. living waters shall be given
"
"683","Numbers 20","13","Meribah: that is, strife
"
"684","Numbers 20","14","befallen…: Heb. found us
"
"685","Numbers 20","24","word: Heb. mouth
"
"686","Numbers 21","3","Hormah: that is, utter destruction
"
"687","Numbers 21","4","discouraged: Or, grieved. Heb. shortened
"
"688","Numbers 21","11","Ijeabarim: Or, heaps of Abarim
"
"689","Numbers 21","14","What he did in the Red sea: Or, Vaheb in Suphah
"
"690","Numbers 21","15","lieth: Heb. leaneth
"
"691","Numbers 21","17","Spring up: Heb. ascend
"
"692","Numbers 21","17","sing: Or, answer
"
"693","Numbers 21","20","country: Heb. field
"
"694","Numbers 21","20","Pisgah: Or, hill
"
"695","Numbers 21","20","Jeshimon: Or, the wilderness
"
"696","Numbers 21","25","villages: Heb. daughters
"
"697","Numbers 22","5","face: Heb. eye
"
"698","Numbers 22","11","I shall be able to overcome them: Heb. I shall prevail in fighting against him
"
"699","Numbers 22","16","Let nothing, I pray thee, hinder thee from: Heb. Be not thou letted from etc.
"
"700","Numbers 22","30","upon which thou hast ridden: Heb. who hast ridden upon me
"
"701","Numbers 22","30","ever since I was thine: Or, ever since thou wast, etc.
"
"702","Numbers 22","31","fell flat: Bowed himself
"
"703","Numbers 22","32","to withstand thee: Heb. to be an adversary unto thee
"
"704","Numbers 22","34","displease: Heb. be evil in thine eyes
"
"705","Numbers 22","39","Kirjathhuzoth: Or, a city of streets
"
